Name,X,Y,Angle,Value,Package
ANT1,119.98,27.38,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,116.36,30.37,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,78.61,18.02,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,111.40,26.60,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,111.09,30.77,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,110.84,33.07,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,109.16,33.02,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,101.64,34.37,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C15,107.49,33.07,0.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,96.92,32.02,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,96.97,31.02,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,96.82,30.02,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,102.47,20.11,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,116.81,31.87,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,92.22,16.65,270.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,102.24,27.07,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C21,104.19,24.57,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C22,116.08,27.72,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,81.02,42.58,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,80.51,41.50,180.00,10uF,PERFECT_0402_0402
C25,84.98,39.10,0.00,22uF,PERFECT_0402_0402
C27,94.52,24.88,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,106.48,14.34,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,111.40,27.72,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,104.42,14.32,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,105.52,14.38,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,114.64,35.08,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,84.97,38.00,0.00,22uF,PERFECT_0402_0402
C34,120.64,36.88,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,88.90,41.98,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,87.46,43.38,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,86.66,42.00,0.00,10uF,PERFECT_0402_0402
C4,116.12,26.02,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,111.60,38.08,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,111.54,36.77,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C5,101.64,32.97,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,101.99,28.37,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C7,105.59,24.47,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,111.24,25.57,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,111.07,29.62,0.00,"820pF N.C.",NORDIC_NRF_3_RESC0201_L
D2,92.61,20.68,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,110.41,41.68,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,95.65,16.92,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,88.59,16.58,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,90.32,32.42,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C10,90.13,24.92,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C11,90.11,23.92,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C12,90.17,22.92,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C2,90.43,33.62,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C5,90.29,31.32,0.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,90.24,30.32,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C7,90.25,29.32,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C8,90.28,28.27,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C9,90.29,27.27,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
IC1,88.15,39.30,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
